frame,temperature_C,window,q_Ainv,observed_intensity,total_fit_intensity,background_intensity,residual_intensity,standardized_residual,component_q0295_broad,component_q0307_narrow,component_q0334,component_q0480,component_q0536,component_q0604,component_q0642,component_q0754,component_q0947,component_q1532,component_q1713,component_q1750,component_q1999,component_q2086,component_q2117,component_q2279
193,40.0,lamellar_low_q,0.4115125,43.451341,44.660991091195555,43.17274116418545,-1.2096500911955559,-1.6997549890105477,0.6400326788669803,0.3128015126996074,0.5354157354435135,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.4177375,43.14178285,44.36869054092064,43.04352593207773,-1.2269076909206404,-1.7240047215940155,0.5878284307076452,0.2792882884259544,0.4580478897093123,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.4239625,44.51768568,44.102956165002496,42.91431069997,0.41472951499750366,0.5827623767714568,0.5416093812164052,0.2508533988637309,0.3961826849523547,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.4301875,45.18445398,43.85810596726655,42.785095467862284,1.3263480127334475,1.8637345363068623,0.5005161297211961,0.22652608079677516,0.3459682888862979,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.4364125,44.92222529,43.62994131710382,42.655880235754566,1.292283972896179,1.8158690237254302,0.4638343394294466,0.20555569306687083,0.30467104885293717,,,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.4426375,43.75819758,43.16847057710235,42.94717807950701,0.5897270028976536,1.369067517553695,,,,0.16337088468180633,0.05792161291353224,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.4488625,42.6654286,42.95549285752789,42.62787966223138,-0.290064257527888,-0.6733921815238306,,,,0.26085065640948873,0.06676253888702116,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.4550875,42.72480804,42.84711488812463,42.30858124495574,-0.12230684812463011,-0.2839387243911981,,,,0.46075019745243867,0.07778344571644989,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.4613125,43.15372951,42.964959781188746,41.98928282768009,0.18876972881125198,0.43823413671589445,,,,0.8839165879671871,0.0917603655414705,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.4675375,43.03637964,43.175549612209046,41.66998441040446,-0.13916997220904648,-0.3230869324858146,,,,1.3957197042891876,0.10984549751539996,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.4737625,42.71508719,42.56462053728448,41.35068599312882,0.15046665271551518,0.34931248814393395,,,,1.0801273454477454,0.1338071987079203,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.4799875,41.75828193,41.7662466969486,41.031387575853174,-0.007964766948596491,-0.01849042635088756,,,,0.5683917216571018,0.16646739943832517,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.4862125,41.08836799,41.23547370517559,40.71208915857754,-0.14710571517559146,-0.3415099788611176,,,,0.3108412652023198,0.2125432813957324,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.4924375,40.82596534,40.86187973440669,40.3927907413019,-0.03591439440668864,-0.08337625808757955,,,,0.18871503415208155,0.2803739589527069,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.4986625,40.44410907,40.58415476119877,40.073492324026255,-0.14004569119876464,-0.32511993829602365,,,,0.12492026281810209,0.38574217435440966,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.5048875,40.55154538,40.403534796499535,39.754193906750615,0.14801058350046503,0.34361065565760246,,,,0.08821912341899393,0.5611217663299244,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.5111125,39.87398243,40.380670685741215,39.43489548947498,-0.5066882557412171,-1.1762907736168715,,,,0.06540261796642165,0.8803725782998145,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.5173375,40.32945726,40.69586825450217,39.115597072199336,-0.36641099450217496,-0.8506332390794942,,,,0.05033067847005735,1.529940503832785,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.5235625,41.66616752,41.81808350483023,38.796298654923696,-0.15191598483022517,-0.3526771526592898,,,,0.03988595769137852,2.9818988922151592,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.5297875,44.39400979,44.03140447977481,38.47700023764806,0.3626053102251916,0.8417982379686718,,,,0.03236397239868069,5.522040269728063,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.5360125,43.03288509,43.42481559448124,38.157701820372424,-0.39193050448123756,-0.9098774860014643,,,,0.0267738881037356,5.240339886005084,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.5422375,40.66139846,40.603936254495665,37.83840340309678,0.05746220550433634,0.1334000964114493,,,,0.022509703883189593,2.7430231475157036,,,,,,,,,,,
193,40.0,heated_low_q_0480_0536,0.5484625,39.7620139,38.962194054021545,37.519104985821144,0.7998198459784547,1.8568038527039248,,,,0.01918467503808895,1.4239043931623119,,,,,,,,,,,
